latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.86441,-77.4301,301.82,0.49,0.65,2025-02-15,0735,N,nominal,2.0NRT,289.76,1.19,N
19.00711,-104.26173,313.65,0.76,0.77,2025-02-15,0735,N,nominal,2.0NRT,289.92,2.3,N
20.86331,-77.42533,301.64,0.49,0.65,2025-02-15,0735,N,nominal,2.0NRT,289.85,0.88,N
20.43649,-76.10061,300.41,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,288.62,1.33,N
17.93379,-102.20742,303.31,0.55,0.68,2025-02-15,0737,N,nominal,2.0NRT,290.15,1.05,N
20.43509,-76.09479,308.11,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,288.58,1.34,N
17.9449,-102.20669,302.87,0.55,0.68,2025-02-15,0737,N,nominal,2.0NRT,290,1.04,N
17.93217,-102.20805,310.57,0.55,0.68,2025-02-15,0737,N,nominal,2.0NRT,290.35,1.27,N
20.21487,-75.18587,303.3,0.7,0.75,2025-02-15,0735,N,nominal,2.0NRT,288.87,1.17,N
20.43007,-76.10252,305.92,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,289.15,1.56,N
20.42727,-76.09082,303.09,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,288.98,1.87,N
21.90361,-82.95347,308.58,0.43,0.46,2025-02-15,0737,N,nominal,2.0NRT,290.26,0.83,N
21.89945,-82.9544,301.62,0.43,0.46,2025-02-15,0737,N,nominal,2.0NRT,290.08,0.83,N
23.59804,-98.29293,307.59,0.36,0.57,2025-02-15,0737,N,nominal,2.0NRT,275.74,0.8,N
22.10236,-100.92693,298.2,0.51,0.66,2025-02-15,0737,N,nominal,2.0NRT,279.6,0.67,N
36.51571,-97.83774,298.87,0.41,0.61,2025-02-15,0911,N,nominal,2.0NRT,276.74,0.8,N
39.61886,-119.26506,297.46,0.58,0.52,2025-02-15,0911,N,nominal,2.0NRT,271.5,0.96,N
39.38614,-121.64864,297.76,0.39,0.59,2025-02-15,0911,N,nominal,2.0NRT,274.9,0.27,N
38.07343,-122.1404,297.25,0.4,0.6,2025-02-15,0911,N,nominal,2.0NRT,283.02,1.29,N
48.886,-122.74089,295.16,0.5,0.66,2025-02-15,0911,N,nominal,2.0NRT,274.87,1.16,N
37.94571,-122.39676,297.09,0.41,0.61,2025-02-15,0911,N,nominal,2.0NRT,277.18,1.1,N
40.82069,-114.256,296.11,0.51,0.41,2025-02-15,0913,N,nominal,2.0NRT,270.42,1.44,N
37.3903,-120.69313,308.98,0.33,0.55,2025-02-15,0911,N,nominal,2.0NRT,276.12,1.29,N
36.38219,-114.87775,295.71,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,276.12,0.74,N
36.35573,-114.91048,301.63,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,276.94,1.34,N
36.35814,-114.91133,305.65,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,278.1,1.39,N
35.51837,-113.31537,308.4,0.42,0.38,2025-02-15,0913,N,nominal,2.0NRT,273.59,2.28,N
32.48267,-101.26157,298.45,0.34,0.56,2025-02-15,0913,N,nominal,2.0NRT,273.26,0.34,N
32.48572,-101.318,295.25,0.34,0.56,2025-02-15,0913,N,nominal,2.0NRT,271.82,0.22,N
32.4836,-101.3533,308.54,0.33,0.56,2025-02-15,0913,N,nominal,2.0NRT,275.18,0.51,N
32.47976,-101.36876,296.61,0.33,0.56,2025-02-15,0913,N,nominal,2.0NRT,274.87,0.58,N
32.41247,-101.63948,347.71,0.32,0.55,2025-02-15,0913,N,nominal,2.0NRT,281.13,8.3,N
32.41167,-101.63611,367,0.32,0.55,2025-02-15,0913,N,high,2.0NRT,279.91,6.51,N
32.37564,-101.57487,367,0.33,0.55,2025-02-15,0913,N,high,2.0NRT,278.24,5.47,N
32.34352,-101.64046,307.1,0.32,0.55,2025-02-15,0913,N,nominal,2.0NRT,275.92,0.58,N
32.28136,-101.40855,296.24,0.33,0.56,2025-02-15,0913,N,nominal,2.0NRT,280.52,0.83,N
32.27954,-101.40868,304.43,0.34,0.56,2025-02-15,0913,N,nominal,2.0NRT,280.89,0.94,N
32.70744,-103.51609,296.65,0.5,0.49,2025-02-15,0913,N,nominal,2.0NRT,275.88,0.86,N
32.21465,-101.84553,330.98,0.64,0.54,2025-02-15,0913,N,nominal,2.0NRT,276.89,3.47,N
32.21624,-101.85219,295.78,0.64,0.54,2025-02-15,0913,N,nominal,2.0NRT,276.1,3.47,N
32.68086,-103.93436,296.98,0.48,0.48,2025-02-15,0913,N,nominal,2.0NRT,277.06,1.08,N
31.99498,-101.82772,300.16,0.32,0.55,2025-02-15,0913,N,nominal,2.0NRT,277.6,0.39,N
32.38051,-103.70131,310.01,0.5,0.49,2025-02-15,0913,N,nominal,2.0NRT,275.12,1.44,N
