latitude,longitude,brightness,acq_date,acq_time
35.08083,-82.69333,2,2025-03-26,1841
34.81949,-85.12461,1,2025-03-26,1841
35.09584,-82.57188,2,2025-03-26,1841
35.08327,-82.67353,2,2025-03-26,1841
35.08142,-82.68853,2,2025-03-26,1841
35.08023,-82.69804,2,2025-03-26,1841
35.07966,-82.7027,2,2025-03-26,1841
35.07784,-82.71734,2,2025-03-26,1841
35.09996,-82.56764,1,2025-03-26,1841
35.09935,-82.57259,1,2025-03-26,1841
35.09571,-82.60211,1,2025-03-26,1841
35.09449,-82.61195,1,2025-03-26,1841
35.08429,-82.69427,2,2025-03-26,1841
35.08371,-82.69894,2,2025-03-26,1841
34.63627,-87.94121,1,2025-03-26,1841
